id	filename	md5	size	state
b46b34e5-7cc6-4a26-9b76-1dc3b030cef9	TCGA-E1-5319-01A-01-BS1.42f16b34-c824-45f7-98c3-3ecdb1898229.svs	b3ac7b3691f293accb96ed1ef21a99f9	127084339	released
31952ec6-7bfb-4a13-8163-a0965e8722e3	TCGA-E1-5319-01A-01-TS1.7daca44f-f6a5-4993-a56b-ce3900a5c6cb.svs	c1af310320a21e1b5d40117fc859720e	29535113	released
9a67656d-3f4d-48b1-8f42-9dbcf11e2d7f	TCGA-HT-8563-01A-01-TS1.c32e888c-02df-4642-9291-75a695b12010.svs	32e7ae0b0299b46fa736f14d37ff9902	54120061	released
5cb80f4f-d175-4106-851d-2fc8d354f2e0	TCGA-DB-5273-01A-01-BS1.21de9b23-ff31-445b-b6f7-2fd7aeaa462d.svs	697a8841264c1ea1444d8ed638eb5ddc	283479617	released
519f52c7-fa02-4f03-aff8-b1432544efbe	TCGA-DH-5141-01A-01-TS1.87213309-81e4-4a8d-88bf-8b68f329c13b.svs	f402a03830c80a94b58b3178f2371b80	61048599	released
4372b235-ec1b-4e9e-8d21-aa7d1c36e1c6	TCGA-HT-7693-01A-01-TS1.add113e7-5aa5-4384-be76-9813ffcc25ec.svs	6896737218d71a6f514e830768d5ecbc	273376489	released
e42f56ba-e6e2-4d88-bc0f-0539d1ee3fc2	TCGA-FG-5965-01B-01-TS1.b0c729a5-e4fe-4602-8f13-59fcf0d3f646.svs	f8ad6a87c14d5b38e275a17ccbec0a29	87772795	released
0fd6e1a2-8605-4d9e-8d1f-89e316e4db3a	TCGA-DU-7298-01A-01-BS1.0ae38ed0-e8a2-47e5-bb42-5b11dfc19ac0.svs	7654ec886ce5997a4f9872fb3d0e104a	108370673	released
08156cc4-f38f-4826-9d0c-ae6c2775f05e	TCGA-FG-8181-01A-01-TS1.766814dd-21ce-43fc-b7a0-8c86a19eeeeb.svs	0709eea10b8ddde46f37efb8aeee3eb7	91932305	released
be3a5978-fd2e-4ebe-b5d5-9d7dd9fbe774	TCGA-FG-5965-01B-01-BS1.7e843bf4-8f99-4052-8197-52b4dec04c4e.svs	82e196376c715191cd4c047fdc6b180f	75416157	released
372bbcd8-ce60-403c-8897-90777365e025	TCGA-HT-7694-01A-01-TS1.921af409-5c8e-4036-938c-6dc84ad32b5c.svs	3d552679dc55efafa2f1d4530a144058	516253305	released
b2230903-9a54-4651-ba22-246b861a98bc	TCGA-FN-7833-01A-01-TS1.56ee8a88-ed45-4949-80d1-8b177222f6df.svs	74b6ab40d17682bd6e3e51aed13b7d06	84483979	released
9aee5be3-6a73-4c74-9aa9-7986f690a0a7	TCGA-DU-7013-01A-01-BS1.a3eed4d1-1367-407e-8275-7ff82cf4ea74.svs	efbe72ec503fdc9117132e21c001dcf7	145611569	released
eb45b000-92ec-498e-bfbf-4c8414175c6b	TCGA-DU-7013-01A-01-TS1.54903332-63d3-4dee-ad78-50e7078eb612.svs	44604774d5559498847b6a6220e77462	217412977	released
9c6cc9c6-d1b1-4769-9a2f-09411058be08	TCGA-FG-6690-01A-01-TS1.5860d06d-7e89-446c-bb32-4ffb6c1b058e.svs	59627d127dd0a1ad934625a760d7dda5	38263599	released
30809a7a-0e98-4c72-a842-a5be307104b4	TCGA-DU-7010-01A-01-TS1.1a7fcdc6-78ef-4147-a6bd-20913d699665.svs	4a204778382da05ce2cd7f89213aeefa	270021705	released
7866e7ef-5438-4def-9d7f-26c0b44d7e41	TCGA-DU-7010-01A-01-BS1.8feb12a2-f731-4976-9024-662d8e011def.svs	1e5d82e8fed0cebd2c7b6fd8872be39c	196549179	released
1de64253-ceca-4ddb-a350-ee52d052d9dc	TCGA-HT-7686-01A-01-BS1.e6c024c9-ecb6-4b02-b814-cb8ce1188b04.svs	d3ed6799ea430a0e767c583b1dd15562	251429175	released
8168cd9d-d5e4-464f-8b44-54dd8f485830	TCGA-HW-8321-01A-01-TS1.53f55dd1-cbd4-4f9f-a864-9961f5bae214.svs	3b8a26da41b8568a488df062d334772e	878353583	released
cc890cdc-82e0-4dfb-9875-aa637c76bc33	TCGA-EZ-7264-01A-01-BS1.4fb45cf4-bf51-4149-b8b4-c95de53cf688.svs	529845176c34a14ad1d7276a8477d3f3	71230179	released
8120a400-59f3-44ae-8229-3022cff72008	TCGA-HT-7689-01A-01-BS1.d80cc5b6-fdf6-4df0-af4a-5eebb3cc2ce4.svs	72708a6cf175e70c817526b172daac88	599557943	released
c195b9a1-97ff-4177-923e-263167825e14	TCGA-CS-6668-01A-01-BS1.eb9d262b-fac9-4170-bce6-9fa1cca2a41d.svs	6518de9df1f6bbe9fcf2ab95dad9f68f	96337639	released
05cde4fd-7458-417d-a721-2b6ad0a5b810	TCGA-HT-7873-01B-01-TS1.a68d8bf4-2645-455e-8249-e1181a9e288c.svs	e57f51913508b655adeea0d8202c09ba	238106535	released
a02cc498-64cd-4349-a0cc-9d2ee204fc7c	TCGA-HT-7855-01A-01-TS1.c5d1b778-4006-4ca3-8d14-c4622caf5cae.svs	4c52a917f95261d3c3644830119c17db	141953449	released
9b202b6a-d734-4dd1-bdd9-789d07031da2	TCGA-CS-6186-01A-01-BS1.5685f3fc-7ef6-42b7-8c8a-a6a1d23ce486.svs	8fb5f685699eac9a9a48aca47eb6ac6b	64239077	released
a371763e-840e-4d26-96e8-ae86a28168b3	TCGA-HW-7490-01A-01-BS1.a32239ed-e49f-4bad-a134-9a94f1b067ed.svs	4c34f3ef036f38c0743cfb09bbb2a5be	536317467	released
4bbe6919-bbbc-4583-bf72-745e5f5fbe17	TCGA-FG-8182-01A-01-TS1.d624b518-a7fd-445c-95b3-a76c84c738ab.svs	834f1f90c5e511747b37e76b20d8b893	104970937	released
a3c77abf-2f72-42e6-819d-7abe90952d55	TCGA-CS-6668-01A-01-TS1.40941e3a-f21e-4236-bca1-847dcce69114.svs	8a1b27acd523e3808088dd5471ffd1eb	145102379	released
94bed7b1-c74f-4c89-9055-e769a1186394	TCGA-DH-5141-01A-01-BS1.4677e101-d3bf-4c22-9370-83a9b652a6de.svs	9f02c19f22a2c6e5d8f7a134d1d068fa	40805187	released
a5849682-805e-418f-942b-c8874e3f8d59	TCGA-FG-5963-01A-01-TS1.3adfc3dc-37b5-4182-be97-e51b1341e08a.svs	b9f96f40c528578d17de85120db7f6a9	29357419	released
a34a3f15-edc3-43d6-b642-d864add095f7	TCGA-FG-5963-01A-01-BS1.e2d0149d-dbd4-48c5-a66b-c102f920d86b.svs	80e024e0d10caffa6c6adb0e95aa255f	166813965	released
